ZIP CODE,Ref,TotalDeathsInjuries,Ratio
     ,34,8,0.23529411764705882
10000,67,29,0.43283582089552236
10001,8093,1062,0.13122451501297416
10002,6800,1507,0.22161764705882353
10003,5182,997,0.19239675800849093
10004,1166,136,0.11663807890222985
10005,687,97,0.14119359534206696
10006,810,110,0.13580246913580246
10007,2074,334,0.16104146576663453
10009,2979,699,0.23464249748237664
10010,4128,931,0.22553294573643412
10011,5535,797,0.14399277326106594
10012,4031,683,0.16943686430166213
10013,7206,954,0.13238967527060783
10014,3396,494,0.14546525323910484
10016,9002,1542,0.17129526771828482
10017,5660,831,0.14681978798586573
10018,6108,681,0.11149312377210216
10019,8766,1151,0.13130276066621036
10020,413,27,0.06537530266343826
10021,3390,436,0.12861356932153392
10022,8778,1114,0.1269081795397585
10023,3863,548,0.14185865907325912
10024,3390,475,0.140117994100295
10025,4008,815,0.20334331337325348
10026,1807,524,0.28998339789706695
10027,4523,1079,0.23855847888569534
10028,2439,401,0.16441164411644116
10029,5182,1157,0.22327286761868004
10030,1836,457,0.24891067538126363
10031,2578,588,0.22808378588052755
10032,3093,711,0.22987390882638215
10033,3090,640,0.20711974110032363
10034,2493,527,0.21139189731247493
10035,4499,1123,0.24961102467214938
10036,8327,960,0.1152876185901285
10037,1679,474,0.2823108993448481
10038,1610,245,0.15217391304347827
10039,1088,258,0.23713235294117646
10040,1410,296,0.2099290780141844
10048,50,4,0.08
10065,5115,632,0.1235581622678397
10069,144,12,0.08333333333333333
10075,1842,283,0.15363735070575463
10103,1,0,0.0
10105,4,0,0.0
10106,1,0,0.0
10107,1,0,0.0
10110,2,0,0.0
10111,18,0,0.0
10118,4,0,0.0
10119,141,10,0.07092198581560284
10121,6,0,0.0
10123,4,1,0.25
10128,3322,464,0.13967489464178207
10153,4,2,0.5
10155,2,1,0.5
10165,4,0,0.0
10167,1,0,0.0
10168,8,1,0.125
10169,3,0,0.0
10172,8,0,0.0
10173,1,0,0.0
10178,1,0,0.0
10278,4,0,0.0
10280,133,14,0.10526315789473684
10281,41,3,0.07317073170731707
10282,57,5,0.08771929824561403
10301,3521,816,0.23175234308435103
10302,301,102,0.3388704318936877
10303,278,49,0.17625899280575538
10304,3751,921,0.2455345241268995
10305,3190,795,0.24921630094043887
10306,4753,1191,0.25057858194824323
10307,598,106,0.17725752508361203
10308,1562,420,0.26888604353393086
10309,2123,426,0.20065944418276024
10310,2008,521,0.2594621513944223
10312,3708,882,0.23786407766990292
10314,2178,508,0.23324150596877868
10451,4283,1237,0.2888162502918515
10452,3223,915,0.283896990381632
10453,3494,1184,0.3388666285060103
10454,3229,978,0.3028801486528337
10455,2969,958,0.3226675648366453
10456,3520,1205,0.34232954545454547
10457,4014,1312,0.3268560039860488
10458,4821,1375,0.2852105372329392
10459,3344,1099,0.3286483253588517
10460,3921,1253,0.3195613363937771
10461,4026,1052,0.26130153999006456
10462,3622,888,0.24516841524019878
10463,3305,669,0.20242057488653556
10464,376,145,0.38563829787234044
10465,2336,593,0.2538527397260274
10466,4802,1400,0.2915451895043732
10467,6095,1689,0.2771123872026251
10468,4384,1334,0.30428832116788324
10469,4171,1380,0.3308559098537521
10470,1690,453,0.26804733727810653
10471,1031,238,0.23084384093113483
10472,3009,842,0.27982718511133264
10473,2642,753,0.2850113550340651
10474,1826,337,0.18455640744797372
10475,2255,568,0.2518847006651885
10803,4,2,0.5
11001,263,75,0.28517110266159695
11004,1345,389,0.2892193308550186
11005,53,5,0.09433962264150944
11040,188,40,0.2127659574468085
11101,9160,1956,0.21353711790393012
11102,1843,361,0.1958762886597938
11103,2266,514,0.22683142100617829
11104,1423,428,0.30077301475755447
11105,1702,431,0.25323149236192716
11106,2727,787,0.2885955262192886
11109,72,8,0.1111111111111111
11201,8211,1490,0.1814638899037876
11203,7619,3115,0.4088463052894081
11204,4702,1265,0.26903445342407484
11205,3801,1016,0.26729807945277556
11206,6113,1947,0.31850155406510716
11207,11186,4174,0.37314500268192385
11208,6496,2401,0.36961206896551724
11209,3589,773,0.21538032878239063
11210,4814,1788,0.37141670128791027
11211,5644,1622,0.2873848334514529
11212,6266,2450,0.3909990424513246
11213,6116,2190,0.35807717462393723
11214,4583,1210,0.2640192013964652
11215,5023,1037,0.2064503284889508
11216,5403,1687,0.3122339441051268
11217,5255,1134,0.21579448144624166
11218,4505,1260,0.27968923418423974
11219,4755,1128,0.23722397476340695
11220,6348,1557,0.2452741020793951
11221,4908,1857,0.37836185819070906
11222,4227,621,0.14691270404542228
11223,5106,1308,0.25616921269095183
11224,2432,625,0.25699013157894735
11225,4147,1256,0.3028695442488546
11226,6844,2416,0.353009935710111
11228,2655,761,0.2866290018832392
11229,4594,1368,0.2977797126686983
11230,6043,1624,0.26874069170941584
11231,2349,407,0.17326521924223073
11232,3311,797,0.24071277559649654
11233,6036,2160,0.35785288270377735
11234,6904,1836,0.26593279258400926
11235,5339,1203,0.22532309421239932
11236,7128,2678,0.37570145903479235
11237,3561,896,0.2516147149677057
11238,4452,1336,0.3000898472596586
11239,898,230,0.2561247216035635
11242,1,0,0.0
11249,2199,461,0.20964074579354253
11251,1,0,0.0
11354,5915,1179,0.19932375316990703
11355,5453,1089,0.19970658353200074
11356,1807,278,0.15384615384615385
11357,1930,471,0.24404145077720207
11358,2926,598,0.20437457279562543
11359,7,0,0.0
11360,686,128,0.18658892128279883
11361,2985,470,0.1574539363484087
11362,1149,181,0.15752828546562228
11363,724,129,0.1781767955801105
11364,1808,411,0.22732300884955753
11365,1754,448,0.2554161915621437
11366,1363,335,0.2457813646368305
11367,2374,563,0.2371524852569503
11368,4980,1395,0.28012048192771083
11369,2532,664,0.26224328593996843
11370,1995,570,0.2857142857142857
11372,4717,1214,0.2573669705321179
11373,5195,1100,0.21174205967276227
11374,2766,537,0.19414316702819956
11375,4327,893,0.20637855327016408
11377,5574,1577,0.28292070326515967
11378,3387,560,0.165338057277827
11379,2407,499,0.20731200664727878
11385,7052,1549,0.21965399886557005
11411,1715,660,0.3848396501457726
11412,2785,1159,0.4161579892280072
11413,4154,1334,0.32113625421280695
11414,1730,498,0.2878612716763006
11415,1190,202,0.16974789915966387
11416,1965,615,0.31297709923664124
11417,3035,929,0.30609555189456344
11418,2823,632,0.2238753099539497
11419,3672,1041,0.2834967320261438
11420,4022,1259,0.31302834410740926
11421,2412,633,0.26243781094527363
11422,3696,1195,0.32332251082251084
11423,2323,712,0.3065002152389152
11426,1219,308,0.2526661197703035
11427,1622,458,0.28236744759556104
11428,1515,423,0.27920792079207923
11429,1913,596,0.31155253528489285
11430,82,18,0.21951219512195122
11432,4726,1124,0.23783326280152348
11433,3035,1078,0.35518945634266885
11434,6779,2189,0.32290898362590353
11435,3932,1109,0.28204476093591047
11436,1379,501,0.3633067440174039
11691,2946,907,0.30787508486082826
11692,761,250,0.328515111695138
11693,784,221,0.28188775510204084
11694,843,198,0.23487544483985764
11695,9,4,0.4444444444444444
11697,69,16,0.2318840579710145
nan,225041,60488,0.26878657666825156
